PartitionKey,RowKey,CountryCode,Latitude,Longitude,SW_Lat,SW_Lon,NE_Lat,NE_Lon,lat radians,long radians
Romania,Bucharest,RO,44.382077,26.117438,44.20222088,25.86577189,44.56193312,26.36910411,0.774613373,0.455835285
Italy,Modena,IT,44.615861,10.931265,44.43600488,10.67858798,44.79571712,11.18394202,0.778693673,0.190786566
Canada,Halifax,CA,44.654769,-63.638389,44.47491288,-63.89123505,44.83462512,-63.38554295,0.779372746,-1.110699419
Serbia,Belgrade,RS,44.821578,20.404725,44.64172188,20.15115169,45.00143412,20.65829831,0.782284112,0.356129634
United States,Minneapolis (MN),US,44.934984,-93.244797,44.75512788,-93.49886713,45.11484012,-92.99072687,0.78426342,-1.627428718
United States,Minneapolis-St.Paul (MN),US,44.935226,-93.243532,44.75536988,-93.4976032,45.11508212,-92.9894608,0.784267644,-1.62740664
Italy,Turin,IT,45.038625,7.642187,44.85876888,7.387657363,45.21848112,7.896716637,0.786072297,0.133381325
Russia,Krasnodar,RU,45.085394,39.003794,44.90553788,38.74905361,45.26525012,39.25853439,0.78688857,0.680744626
France,Grenoble,FR,45.188879,5.726357,45.00902288,5.471149029,45.36873512,5.981564971,0.788694724,0.099943784
Canada,Saint John,CA,45.309612,-66.02763,45.12975588,-66.28338566,45.48946812,-65.77187434,0.790801912,-1.152399541
Canada,Ottawa,CA,45.374407,-75.672358,45.19455088,-75.92840856,45.55426312,-75.41630744,0.791932798,-1.3207318
Canada,Sherbrooke,CA,45.403814,-71.8185,45.22395788,-72.07468462,45.58367012,-71.56231538,0.792446047,-1.253469289
Canada,Ottawa-Gatineau,CA,45.431797,-75.693582,45.25194088,-75.94989432,45.61165312,-75.43726968,0.792934443,-1.321102229
Italy,Milan,IT,45.507372,9.208991,45.32751588,8.952333144,45.68722812,9.465648856,0.794253475,0.160727214
United States,Portland (OR),US,45.522896,-122.61243,45.34303988,-122.8691589,45.70275212,-122.3557011,0.79452442,-2.139990607
Canada,Montreal,CA,45.538465,-73.607091,45.35860888,-73.86389128,45.71832112,-73.35029072,0.794796151,-1.284686091
Romania,Brasov,RO,45.620542,25.636755,45.44068588,25.37957798,45.80039812,25.89393202,0.796228664,0.447445784
France,Lyon,FR,45.730777,4.877557,45.55092088,4.619872261,45.91063312,5.135241739,0.798152628,0.085129429
Romania,Timisoara,RO,45.761649,21.270682,45.58179288,21.01285471,45.94150512,21.52850929,0.798691446,0.371243435
Croatia,Zagreb,HR,45.801793,15.918488,45.62193688,15.66047511,45.98164912,16.17650089,0.799392091,0.277830028
Canada,Fredericton,CA,45.920917,-66.626801,45.74106088,-66.88536621,46.10077312,-66.36823579,0.801471197,-1.162857048
Hungary,Pecs,HU,46.029012,18.24718,45.84915588,17.9881096,46.20886812,18.5062504,0.803357811,0.31847337
Slovak Republic,Ljubljana,SI,46.057046,14.570487,45.87718988,14.31128388,46.23690212,14.82969012,0.803847096,0.254302972
